 lokasi, alamat_kantor,kode_pos,telepon,fax,latitude,longitude
BADAN PELAYANAN TERPADU SATU PINTU,"Jl. Kebon Sirih No. 18 Blok H Lantai 18, Jakarta",10110,021 3841823,021 3841823,-6.182027,106.82833
PTSP KOTA ADMINISTRASI JAKARTA PUSAT,"Jl. Tanah Abang 1 No. 1, Gambir",10160,021 3441487,,-6.172999,106.8189098
PTSP KECAMATAN GAMBIR,"Jl. Tanah Abang 1 No. 10, Gambir",10160,021 38901779,021 38901779,-6.170865,106.81925
PTSP Kelurahan Gambir,"Jl. Budi Kemuliaan No. 12, Gambir",10110,021 3518384,021 3504151,-6.179949,106.816122
PTSP Kelurahan Cideng,"Jl. Petojo Selatan XI No. 19, Cideng",10150,021 63861716,021 63861716,-6.167895,106.809231
PTSP Kelurahan Petojo Utara,"Jl. Pembangunan II Taman Kecamatan Gambir, Petojo Utara",10130,021 6343273,021 6343273,-6.162532,106.8176
PTSP Kelurahan Petojo Selatan,"Jl. Petojo Melintang No. 19, Petojo Selatan",10160,021 3862032,021 3520886,-6.171873,106.816871
PTSP Kelurahan Kebon Kelapa,"Jl. Batu Tulis VII No. 21, Kebon Kelapa",10120,021 3522401,,-6.165955,106.825544
PTSP Kelurahan Duri Pulo,"Jl. Petojo Barat V, Duri Pulo",10140,021 6342880,021 6342880,-6.163782,106.809329
PTSP KECAMATAN SAWAH BESAR,Jl. Karang Anyar Raya No. 12,,,,-6.151737,106.827451
PTSP Kelurahan Pasar Baru,"Jl. Krekot Jaya I No. 4C, Pasar Baru",10710, ,,-6.161497,106.830164
PTSP Kelurahan Karang Anyar,"Jl. B Raya No. 1, Karang Anyar",10740,021 6291252,021 62310699,-6.1558947,106.8288099
PTSP Kelurahan Kartini,"Jl. Kartini VIII Dalam No. 18, Kartini",10750,021 62201172,021 6292096,-6.153283,106.831783
PTSP Kelurahan Gunung Sahari Utara,"Jl. Gunung Sahari 7A No. 30, Gunung Sahari Utara",10720,021 6268786,021 62200474,-6.152796,106.83873
PTSP Kelurahan Mangga Dua Selatan,"Jl. Mangga Dua Dalam No. 1, Mangga Dua Selatan",10730,021 6293296,021 6293296,-6.138095,106.82695
PTSP KECAMATAN KEMAYORAN,"Jl. Serdang III No. 1, Kemayoran",10650,021 4203642,021 4203642,-6.15639,106.8617443
PTSP Kelurahan KEMAYORAN,"Jl. Kepu Barat Raya No. 5 RT014/RW002, Kemayoran",10620,021 4214661,021 4214661,-6.167751,106.843789
PTSP Kelurahan KEBON KOSONG,"Jl. Dakota V, Kebon Kosong",10630,021 4214678,021 4244825,,
PTSP Kelurahan HARAPAN MULYA,"Jl. Cempaka Wangi II No. 17, Harapan Mulia",10640,021 4243768,021 4214774,-6.230751,106.9907
PTSP Kelurahan SERDANG,"Jl. Bendungan Jago No. 11, Serdang",10650,021 4214664,,-6.159015,106.856065
PTSP Kelurahan Gunung Sahari Selatan,"Jl. Kran Raya No.77, Gunung Sahari Selatan",10610,021 4244445,,-6.160791,106.845829
PTSP Kelurahan Cempaka Baru,"Jl. Cempaka Baru II No. 1 RT008/RW006, Cempaka Baru",10640,021 4244248,021 4214638,-6.169734,106.859407
PTSP Kelurahan SUMUR BATU,"Jl. Howitzer Raya No. 5A, Sumur Batu",10660,021 4214748,021 4213489,-6.164652,106.86819
PTSP Kelurahan UTAN PANJANG,"Jl. D. Bendungan Jago No. 49, Utan Panjang",10650,0812 18886181,,-6.1626817,106.8528433
PTSP KECAMATAN SENEN,"Jl. Kramat Raya No. 114, Senen",10400,,,-6.184748,106.843488
PTSP Kelurahan SENEN,"Jl. Pasar Senen Dalam VI, Senen",10410,021 42873302,021 42873302,-6.172496,106.842497
PTSP Kelurahan KENARI,"Jl. Jambrut No. 12, Kenari",10430,021 3913686,021 3913686,-6.190844,106.846008
PTSP Kelurahan PASEBAN,"Jl. Paseban Raya No.71 F-G, Paseban",10440,021 3905331,021 3905331,-6.191593,106.8538
PTSP Kelurahan KRAMAT,"Jl. Kramat Pulo Dalam II, Kramat",10450,021 22390446,,-6.18534,106.847669
PTSP Kelurahan KWITANG,"Jl. Kramat IV Ujung, Kwitang",10420,021 3916510,021 3916510,-6.1867647,106.8386466
PTSP Kelurahan BUNGUR,"Jl. Kp Kepu Gang V No. 277, Bungur",10460,021 42885235,021 42885235,-6.168948,106.846223
PTSP KECAMATAN CEMPAKA PUTIH,Jl. Komplek Perkantoran Rawa Kerbau No. 3,10510,021 4211583,021 4224783,-6.184715,106.873043
PTSP Kelurahan Cempaka Putih Timur,Jl. Cempaka Putih Tengah No. 17,10510,,,-6.10256,106.52137
PTSP Kelurahan Cempaka Putih Barat,"Jl. Cempaka Putih Barat XXV, Cempaka Putih Barat",10520,021 4209400,021 424211585,-6.183743,106.867517
PTSP Kelurahan Rawasari,"Jl. Pramukasari I No. 1, Rawasari",10570,021 4241656,,-6.1903035,106.8703539
PTSP KECAMATAN MENTENG,"Jl. Pegangsaan Barat No. 14, Menteng",10300,,,-6.199445,106.841327
PTSP Kelurahan MENTENG,"Jl. Anyer No. 9A, Menteng",10310,021 3924429,021 3141626,-6.2036854,106.8447696
PTSP Kelurahan PEGANGSAAN,Jl. Taman Amir Hamzah No. 1,10320,021 3159508,021 3159508,-6.203894,106.850307
PTSP Kelurahan CIKINI,"Jl. Cikini VIII No. 7, Cikini",10330,,,-6.18836,106.83923
PTSP Kelurahan GONDANGDIA,"Jl. Jambu No.2A RT.005 RW.002, Kelurahan Gondangdia, (Renovasi)
Jl. Pegangsaan Barat No. 14, Kelurahan Menteng (Sementara)",10350,021 3106333,,-6.1903529,106.8324373
PTSP Kelurahan KEBON SIRIH,"Jl. Jaksa No. 8, Kebon Sirih",10340,,,-6.184089,106.829309
PTSP KECAMATAN TANAH ABANG,"Jl. KH. Mas Mansyur No.130, Tanah Abang",10230,021 3106105,021 3106104,-6.199778,106.814832
PTSP Kelurahan GELORA,"Jl. Gerbang Pemuda No. 1, Gelora",10270,021 5732465,021 5732465,-6.213969,106.798212
PTSP Kelurahan BENDUNGAN HILIR,"Jl. Penjernihan 1 No. 29, Bendungan Hilir",26211,,,-6.201628,106.8083
PTSP Kelurahan Karet Tengsin,"Jl. Karet Padar Baru VII, Karet Tengsin",10220,,,-6.212386,106.8153
PTSP Kelurahan Petamburan,"Jl. Petamburan II No. 50, Petamburan",10260,021 53679869,021 53679869,-6.193176,106.80794
PTSP Kelurahan Kebon Melati,"Jl. Lontar Raya No. 3, Kebon Melati",10230,,,-6.191278,106.8127
PTSP Kelurahan KEBON KACANG,"Jl. KH. Mas Mansyur No. 30, Kebon Kacang",10240,,,-6.191002,106.81464
PTSP Kelurahan KAMPUNG BALI,"Jl. Kampung Bali V No. 8 RT005/RW008, Kampung Bali",10250,021 3927391,021 3927391,-6.183938,106.818926
PTSP KECAMATAN JOHAR BARU,"Jl. Johar Baru Utara 1 No. 1, Johar Baru",10560,021 4211592,021 4211592,-6.182376,106.856322
PTSP Kelurahan JOHAR BARU,"Jl. Johar Baru Utara II RT003/RW003, Johar Baru, Kota Jakarta Pusat",10560,021 4244245,,-6.183331,106.856322
PTSP Kelurahan KAMPUNG RAWA,"Jl. Rawa Selatan III No. 39, Johar Baru",10550,021 4206024,021 4228788,-6.180626,106.858638
PTSP Kelurahan GALUR,Jl. Galur Jaya No. 36,10530,,,-6.175558,106.854586
PTSP Kelurahan TANAH TINGGI,Jl. Kramat Pulo Gadung No. 148,10540,,,-6.183771,106.849305
PTSP KOTA ADMINISTRASI JAKARTA UTARA,Jl. Laksada Yosudarso No. 27-29,,,,-6.1200079,106.8900043
PTSP KECAMATAN KOJA,"Jl. Mangga No. 1, Lagoa",14270,021 43930778,,-6.11796,106.910761
PTSP Kelurahan Koja ,"Jl. Inspeksi Kali Sunter No. 1, Koja",14220,021 43931927,021 4371711,-6.112374,106.8975
PTSP Kelurahan Rawa Badak Utara,Jl. Alur Laut I,14230,,,-6.11915,106.89876
PTSP KelurahanRawa Badak Selatan,"Jl. Alur Laut I No. 7, Rawa Badak Selatan",14230,021 43900417,021 43900417,-6.1282492,106.8987497
PTSP Kelurahan Tugu Utara,"Jl. Mahoni Selatan No. 1, Tugu Utara",14260,021 43932255,021 43932255,-6.12189,106.913122
PTSP Kelurahan Tugu Selatan,"Jl. Bendungan Melayu Utara No. 4, Tugu Selatan  ",14260,021 4301555,,-6.131006,106.907631
PTSP Kelurahan Lagoa,"Jl. Mangga No. 7, Lagoa",14270,021 439030187,,-6.112867,106.908398
PTSP KECAMATAN KELAPA GADING,Jl. Kelapa Nias Blok LC.1 No. 1,14201,0821 14803749,,-6.151323,106.904667
PTSP Kelurahan Kelapa Gading Barat,"Jl. Boulevard Utara Blok PA 19 No. 22 - 23, Kelapa Gading Barat",14240,021 24520755,021 24520755,-6.162917,106.884695
PTSP Kelurahan Kelapa Gading Timur,Jl. Gading Elok Barat III Blok DF No. 1,14240,021 45858044,,-6.166643,106.902433
PTSP Kelurahan Pegangsaan Dua,Jl. Raya Kelapa Nias PA No. 3/8,14250,021 45841273,,-6.154458,106.910805
PTSP KECAMATAN TANJUNG PRIOK,"Jl. Laksda Yos Sudarso No. 22, Tanjung Priok",14310,021 43935429,021 43935429,-6.116617,106.892763
PTSP Kelurahan Tanjung Priok,Jl. Tenggiri No. 47 RT004/RW008,14310,021 43931256,,-6.112978,106.881429
PTSP Kelurahan Kebon Bawang,Jl. Swasembada Timur No. 1,14320,021 43930832,,-6.116286,106.888638
PTSP Kelurahan Sungai Bambu,Jl. Ganggeng Terusan No. 16,14330,021 43930089,,-6.116262,106.881032
PTSP Kelurahan Papanggo,Jl. Bisma Timur II,14340,021 65300278,,-6.130354,106.872024
PTSP Kelurahan Warakas,"Jl. Warakas III Gang 12 No. 5-7, Warakas",14340,021 4371704,021 4371704,-6.119562,106.8752846
PTSP Kelurahan Sunter Agung,Jl. Sunter Karya Selatan Blok G,14350,021 6459933,,-6.139443,106.871317
PTSP Kelurahan Sunter Jaya,"Jl. Bentengan VI No. 1, Jakarta 14350",14350,021 6506000,,-6.14974,106.867391
PTSP KECAMATAN PADEMANGAN,"Jl. GOR Pademangan No. 1, Pademangan",14420,021 6459956,021 6459956,-6.133053,106.837211
PTSP Kelurahan Pademangan Timur,Jl. Pademangan VII No. 34B,14410,,,-6.130747,106.845387
PTSP Kelurahan Pademangan Barat,"Jl. Budi Mulia Raya, Pademangan Barat",14420,021 64712283,021 64712283,-6.132322,106.840398
PTSP Kelurahan Ancol,Jl. Ancol Barat VII No. 1,14430,021 6925911,,-6.123827,106.8174
PTSP KECAMATAN PENJARINGAN,"Jl. Pluit Raya No. 5, Penjaringan",14440,021 6616650,,-6.1266723,106.7938951
PTSP Kelurahan Penjaringan,"Jl. Pluit Raya Selatan No. 1, Penjaringan",14431,,,-6.125518,106.800784
PTSP Kelurahan Pluit,Jl. Pluit Karang Permai 1,14440,,,-6.1252504,106.7757023
PTSP Kelurahan Pejagalan,,14450,,,-6.133589,106.779831
PTSP Kelurahan Kapuk Muara,"Jl. SMPN 122 No. 1 RT001/RW003, Kapuk Muara",14460,021 5401151,021 5401151,-6.136858,106.763765
PTSP Kelurahan Kamal Muara,"Jl. Kamal Muara Raya No. 8, Kamal Muara",14470,021 5550302,021 5550302,-6.098198,106.714443
PTSP KECAMATAN CILINCING,"Jl. Sungai landak No. 7 Kel. Cilincing, Kec. Cilincing, Jakarta Utara",14110,021 4403179,,-6.102347,106.939244
PTSP Kelurahan Kali Baru,"Jl. Kalibaru Timur II No. 60, Kelurahan Kali Baru, Kecamatan Cilincing, Jakarta Utara",14110,021 4401884,,-6.1023745,106.9289789
PTSP Kelurahan Cilincing,"Jl. Cilincing Bakti VI No. 2, CIlincing",14120,021 4405558,021 4405558,-6.1091067,106.9386864
PTSP Kelurahan Semper Barat,"Jl. Pemadam Kebakaran No. 1, Semper Barat",14130,021 4400808,021 4417257,-6.130023,106.926828
PTSP Kelurahan Semper Timur,"Jl. Madya Kebantenan No. 20, Semper Timur",14130,021 4405089,021 4417256,-6.113642,106.926142
PTSP Kelurahan Sukapura,"Jl. Tipar Cakung No.17, Sukapura",14140,021 44837320,021 44837320,-6.1480868,106.9240195
PTSP Kelurahan Rorotan,"Jl. Rorotan IV No. 4, Rorotan",14140,021 44850556,021 44850557,-6.151888,106.9561
PTSP Kelurahan Marunda,Jl. Marunda Baru No. 5,14150,021 44851565,,-6.1247224,106.957383
 PTSP KOTA ADMINISTRASI JAKARTA BARAT,"Jl. Raya Kembangan No. 2, Kembangan",11610,021 58357678,021 58357678,-6.186556,106.737841
PTSP KECAMATAN CENGKARENG,Jl. Kamal Raya No. 1,11730,021 6192834,021 6193590,-6.150349,106.727051
PTSP Kelurahan Kedaung Kali Angke,"Jl. Komplek Departemen Agama RT004/RW003, Kedaung Kali Angke",11710,021 5442153,021 5442153,-6.1537008,106.7622285
PTSP Kelurahan Kapuk,Jl. SMP No. 122,11720,,,-6.131337,106.746142
PTSP Kelurahan Cengkareng Barat,"Jl. Utama Raya No. 1 RT001/RW001, Cengkareng Barat",11730,021 6190223,021 6190223,-6.149644,106.721873
PTSP Kelurahan Cengkareng Timur,"Jl. Fajar Baru Utara No. 16A RT007/RW008, Cengkareng Timur",11730,,,-6.14518,106.733107
PTSP Kelurahan Rawa Buaya,"Tetap : Jl. Bojong Raya RT 005 RW 04, Rawa Buaya
Kontrak : Komplek Bojong Permai, Jl. Bojong Raya Indah No. 48C RT001/RW004, Rawa Buaya",11740,021 5814376,,-6.170797,106.731172
PTSP Kelurahan Duri Kosambi,"Jl. Raya Duri Kosambi No. 9 RT001/RW001, Duri Kosambi",11750,,,-6.170484,106.722333
PTSP KECAMATAN GROGOL PETAMBURAN,"Jl. Tanjung Duren Barat IV No. 2, Grogol Petamburan",11300,,,-6.177974,106.783287
PTSP Kelurahan Tomang,"Jl. Mandala Selatan IV No. 26, Tomang",11440,021 56941910,021 56941910,-6.171844,106.800038
PTSP Kelurahan Grogol,"Jl. Dr. Nurdin Raya No. 41-43 RT010/RW008, Grogol",11450,021 5684967,021 5684967,-6.159273,106.793383
PTSP Kelurahan Jelambar,"Jl. Hadiah Kav Polri Blok F VII No. 1563, Jelambar",11460,021 5684003,021 5684003,-6.161523,106.781682
PTSP Kelurahan Jelambar Baru,"Kompleks Taman Duta Mas Blok A5, Jelambar Baru",11460,,,-6.147223,106.781477
PTSP Kelurahan Wijaya Kusuma,"Jl. Perdana No. 1, Wijaya Kusuma",11460,,,-6.153615,106.772301
PTSP Kelurahan Tanjung Duren Utara,"Jl. Tanjung Duren Raya No. 2 RT010/RW002, Tanjung Duren Utara",11470,021 5671743,,-6.174591,106.78897
PTSP Kelurahan Tanjung Duren Selatan,"Jl. Tanjung Duren Timur Dalam 6 RT011/RW001, Tanjung Duren Selatan",11470,021 5632791,021 5632791,-6.181389,106.787481
PTSP KECAMATAN KALIDERES,"Jl. Peta Utara No. 26, Kalideres",11840,021 6198344,,-6.142224,106.702176
PTSP Kelurahan Kamal,"Jl. Bunda Raya No. 7, Kamal",10810,,,-6.104446,106.706083
PTSP Kelurahan Tegal Alur,"Jl. Kamal Raya 3, BLKD, Tegal Alur",11820,,,-6.124302,106.719762
PTSP Kelurahan Pegadungan,"Jl. Palem Raja Timur Komplek Citra 3 Blok D-11, Pegadungan",11830,,,-6.129849,106.711097
PTSP Kelurahan Kalideres,"Perumahan Citra I Blok G VI No. 13, Kalideres",11840,021 5447657,,-6.143351,106.69248
PTSP Kelurahan Semanan,"Jl. Raya Semanan No. 45, Semanan",11850,021 6191987,021 6191987,-6.160181,106.705102
PTSP KECAMATAN KEBON JERUK,"Jl. Raya Kebon Jeruk No. 2, Kebon Jeruk",11500,,,-6.198758,106.764263
PTSP Kelurahan Duri Kepa,"Jl. Duri Raya No. 1, Duri Kepa",11510,021 5672464,021 5672464,-6.185095,106.773079
PTSP Kelurahan Kedoya Selatan,"Jl. Kedoya Raya No. 2, Kedoya Selatan",11521,021 95792685,021 5802133,-6.179961,106.758856
PTSP Kelurahan Kedoya Utara,"Komp. Ruko Green Garden Blok Z4/13, Jl. Panjang, Kedoya Utara",11520,021 5814132,021 5814132,-6.176941,106.767497
PTSP Kelurahan Kebon Jeruk,"Jl. Perumahan Kebon Jeruk Baru Blok B, Kebon Jeruk",11530,,,-6.189924,106.773081
PTSP Kelurahan Sukabumi Utara,"Jl. Madrasah II No. 2, Sukabumi Utara",11540,021 5481533,021 5481533,-6.21,106.7779
PTSP Kelurahan Kelapa Dua,"Jl. Raya Kelapa Dua, Kelapa Dua",11550,021 53662601,021 53662601,-6.214503,106.769448
PTSP Kelurahan Sukabumi Selatan,"Jl. Raya Sukabumi Selatan, Sukabumi Selatan",11560,,,-6.21763,106.769657
PTSP KECAMATAN KEMBANGAN,"Taman Meruya Ilir, Jl. Intan 6 Blok F7 No. 6, Meruya Utara",11600,021 58908501,,-6.195025,106.736365
PTSP Kelurahan Kembangan Selatan,"Jl. Kembang Abadi Utama Blok A, Kembangan Selatan",11610,021 58355213,021 58355213,-6.183275,106.7515
PTSP Kelurahan Kembangan Utara,"Jl. H. Saanan RT004/RW002, Kembangan Utara",11610,,,-6.178763,106.735242
PTSP Kelurahan Meruya Utara,"Jl. Taman Aries Blok C6 No. 1, Meruya Utara",11620,021 5858934,021 5858934,-6.196375,106.747663
PTSP Kelurahan Srengseng,"Jl. Raya Srengseng No. 1 RT001/RW002, Srengseng",11630,021 5840808,021 5840808,-6.203544,106.756827
PTSP Kelurahan Joglo,"Jl. Raya Joglo No. 1 RT005/RW008, Joglo",11640,021 5864752,021 5864752,-6.22035,106.735263
PTSP Kelurahan Meruya Selatan,"Jl. H.Saaba No. 7 RT007/RW002, Meruya Selatan",11650,021 5840796,021 5840796,-6.2147661,106.7363909
PTSP KECAMATAN PALMERAH,"Jl. H. Taisir No. 2, Palmerah",11480,021 5480739,021 5346563,-6.19927,106.787166
PTSP Kelurahan Slipi,"Jl. KS Tubun III Dalam No. 10, Slipi",11410,021 5481110,021 5481110,-6.193688,106.802015
PTSP Kelurahan Kota Bambu Utara,"Jl. Kota Bambu Utara II No. 2, Kota Bambu Utara",11420,021 5638671,021 5638671,-6.185408,106.807399
PTSP Kelurahan Jatipulo,"Jl. Turi No. 30 RT014/RW003, Jatipulo",11430,021 5671745,021 5671745,-6.176981,106.804211
PTSP Kelurahan Palmerah,"Jl. Komp. Sandang No. 2 RT005/RW010, Palmerah",11480,021 5490872,021 5490872,-6.202132,106.7871
PTSP Kelurahan Kemanggisan,"Jl. Kemanggisan Ilir I No. 2, Kemanggisan",11480,021 5482206,,-6.192103,106.78672
PTSP Kelurahan Kota Bambu Selatan,"Jl. H. Saaman No. 41, Kota Bambu Selatan",11420,021 5655866,021 5655866,-6.185223,106.801951
PTSP KECAMATAN TAMAN SARI,"Jl. Kemukus No. 2, Tamansari",11100,021 6907046,021 6907046,-6.134628,106.815097
PTSP Kelurahan Pinangsia,"Jl. Mangga Dua III No. 111, Pinangsia",11110,,,-6.138397,106.819586
PTSP Kelurahan Glodok,"Jl. Keadilan 1 No. 1, Glodok",11120,021 6296843,021 6296843,-6.146325,106.812985
PTSP Kelurahan Keagungan,"Jl. Keagungan No. 57-59, Keagungan",11130,021 6296844,021 6296844 ext 102,-6.15085,106.814985
PTSP Kelurahan Krukut,"Jl. Keutamaan No. 39-41, Krukut",11140,021 63854384,,-6.155656,106.816273
PTSP Kelurahan Taman Sari,"Jl. Mangga Besar IV B No. 7, Taman Sari",11150,021 6396087,021 6396087,-6.904079,106.823163
PTSP Kelurahan Maphar,"Jl. Kebon Jeruk 16 No. 15, Maphar",11160,021 6292486,021 6292486,-6.1539,106.819684
PTSP Kelurahan Tangki,"Jl. Dalam THR Lokasari, Tangki",11170,021 6285043,021 6285043,-6.14695,106.822571
PTSP Kelurahan Mangga Besar,"Jl. Mangga Besar III No. 1, Mangga Besar",11180,021 6297674,021 6297674,-6.147629,106.819618
PTSP KECAMATAN TAMBORA,"Jl. Pangeran Tubagus Angke, Tambora",11330,021 6320725,021 6320557,-6.1435027,106.7914778
PTSP Kelurahan Tanah Sereal,"Jl. KH. Moch. Mansyur No.116, Tanah Sereal",11210,021 6390644,021 63861734,-6.158744,106.808676
PTSP Kelurahan Tambora,"Jl. Tambora III No. 8, Tambora",11220,021 63850137,,-6.146702,106.808554
PTSP Kelurahan Roa Malaka,"Jl. Tiang Bendera V No. 36, Roa Malaka",11230,021 6925765,021 6925765,-6.132558,106.807516
PTSP Kelurahan Pekojan,"Jl. Pekojan III No. 97, Pekojan",11240,021 6915992,,-6.139522,106.800681
PTSP Kelurahan Jembatan Lima,"Jl. Stasiun Angke No. 134, Jembatan Lima",11250,021 6339829,021 6339829,-6.14441,106.800725
PTSP Kelurahan Krendang,"Jl. Krendang Selatan No. 21, Krendang",11260,021 6313661,021 6313661,-6.152161,106.801885
PTSP Kelurahan Duri Utara,"Jl. Duri Utara Raya No. 22 RT006/RW006, Duri Utara",11270,021 6329859,021 6329859,-6.15491,106.80199
PTSP Kelurahan Duri Selatan,"Jl. Duri Selatan VIII No. 9, Duri Selatan",11270,021 6302371,021 6302371,-6.158237,106.8027
PTSP Kelurahan Kalianyar,"Jl. Kalianyar Raya No. 12, Kalianyar",11310,021 6313217,021 6313217,-6.159524,106.798594
PTSP Kelurahan Jembatan Besi,"Jl. Jembatan Besi VIII No. 1, Jembatan Besi",11320,021 6610743,021 6310743,-6.152661,106.798219
PTSP Kelurahan Angke,"Jl. H. Jamhari No. 25 RT001/RW001, Angke",11330,021 6342578,021 6342578,-6.143393,106.800175
 PTSP KOTA ADMINISTRASI JAKARTA SELATAN,"Jl. Prapanca Raya No. 9, Jakarta Selatan",,,,-6.248369,106.8072
